Citation,PR_ID,Year,ST_OB,ES_ID,CHT_ID,Ecosystem_type,Longitude,Latitude,Study_design,Continent,Region,Country,Climat_type,Source,Variable,Impact_type,Level_ecological_organization,nT,mT,sdT,nC,mC,sdC,num.shared.control,N.control.sc
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,10,ES551,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Fe ppm (Wet season),Micronutrients,Ecosystem,10,16.48,1.41,10,16.92,0.61,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,11,ES552,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Zn ppm (Wet season),Micronutrients,Ecosystem,10,8.75,1.2,10,10.79,2.31,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,12,ES553,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Na me% (Wet season),Salinity,Ecosystem,10,0.82,0.2,10,0.51,0.09,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,13,ES554,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Soil pH (Dry season),pH,Ecosystem,10,6.88,0.19,10,6.3,0.13,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,14,ES555,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,N % (Dry season),P pools,Ecosystem,10,0.36,0.09,10,0.18,0.01,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,15,ES556,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Organic C % (Dry season),C pools,Ecosystem,10,1.98,0.06,10,1.72,0.09,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,16,ES557,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,P me% (Dry season),P pools,Ecosystem,10,20.76,3.58,10,18.81,2.1,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,17,ES558,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,K me% (Dry season),Macronutrients,Ecosystem,10,1.08,0.21,10,1.89,0.41,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,18,ES559,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Ca me% (Dry season),Macronutrients,Ecosystem,10,5.65,0.49,10,6.87,1.08,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,19,ES560,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mg me% (Dry season),Macronutrients,Ecosystem,10,2.43,0.02,10,3.03,0.26,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,20,ES561,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mn me% (Dry season),Micronutrients,Ecosystem,10,1.03,0.06,10,0.84,0.14,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,21,ES562,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Cu ppm (Dry season),Micronutrients,Ecosystem,10,9.17,0.35,10,11.09,0.51,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,22,ES563,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Fe ppm (Dry season),Micronutrients,Ecosystem,10,24.97,2.61,10,17.72,0.53,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,23,ES564,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Zn ppm (Dry season),Micronutrients,Ecosystem,10,4.62,0.51,10,8.2,1.29,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,24,ES565,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Na me% (Dry season),Salinity,Ecosystem,10,0.46,0.04,10,0.77,0.21,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,25,ES566,PUB29_2,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Soil pH (Baringo site),pH,Ecosystem,4,6.81,0.24,4,7.09,0.2,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,26,ES567,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,N % (Baringo site),P pools,Ecosystem,4,0.19,0.01,4,0.21,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,27,ES568,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Organic C % (Baringo site),C pools,Ecosystem,4,1.95,0.11,4,2.05,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,28,ES569,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,P me% (Baringo site),P pools,Ecosystem,4,17.54,5.61,4,24.01,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,29,ES570,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,K me% (Baringo site),Macronutrients,Ecosystem,4,1.17,0.11,4,1.28,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,30,ES571,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Ca me% (Baringo site),Macronutrients,Ecosystem,4,5.11,0.19,4,5.31,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,31,ES572,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mg me% (Baringo site),Macronutrients,Ecosystem,4,2.52,0.02,4,2.61,0.01,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,32,ES573,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mn me% (Baringo site),Micronutrients,Ecosystem,4,0.95,0.05,4,1.02,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,33,ES574,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Cu ppm (Baringo site),Micronutrients,Ecosystem,4,9.2,0.34,4,11.3,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,34,ES575,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Fe ppm (Baringo site),Micronutrients,Ecosystem,4,13.99,1.06,4,15.21,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,35,ES576,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Zn ppm (Baringo site),Micronutrients,Ecosystem,4,9.51,2.94,4,20.45,1.95,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,36,ES577,PUB29_3,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Na me% (Baringo site),Salinity,Ecosystem,4,0.37,0,4,0.37,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,37,ES578,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Soil pH (Isooni site),pH,Ecosystem,4,6.21,0.12,4,5.94,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,38,ES579,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,N % (Isooni site),P pools,Ecosystem,4,0.26,0.09,4,0.22,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,39,ES580,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Organic C % (Isooni site),C pools,Ecosystem,4,1.39,0.21,4,2.16,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,40,ES581,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,P me% (Isooni site),P pools,Ecosystem,4,27.51,1.12,4,30.01,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,41,ES582,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,K me% (Isooni site),Macronutrients,Ecosystem,4,1.6,0.18,4,2.01,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,42,ES583,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Ca me% (Isooni site),Macronutrients,Ecosystem,4,6.48,0.64,4,7.3,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,43,ES584,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mg me% (Isooni site),Macronutrients,Ecosystem,4,2.47,0.02,4,2.56,0.02,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,44,ES585,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mn me% (Isooni site),Micronutrients,Ecosystem,4,1.31,0.15,4,1.35,0.13,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,45,ES586,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Cu ppm (Isooni site),Micronutrients,Ecosystem,4,11.09,0.11,4,10.25,0.48,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,46,ES587,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Fe ppm (Isooni site),Micronutrients,Ecosystem,4,20.26,0.92,4,16.21,0.9,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,47,ES588,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Zn ppm (Isooni site),Micronutrients,Ecosystem,4,7.01,1.56,4,13.85,1.5,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,48,ES589,PUB29_4,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Na me% (Isooni site),Salinity,Ecosystem,4,0.47,0.05,4,0.56,0.01,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,49,ES590,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Soil pH (Kitambasie site),pH,Ecosystem,4,6.21,0.07,4,6.5,0.14,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,50,ES591,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,N % (Kitambasie site),P pools,Ecosystem,4,0.47,0.22,4,0.14,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,51,ES592,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Organic C % (Kitambasie site),C pools,Ecosystem,4,1.34,0.17,4,1.24,0.01,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,52,ES593,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,P me% (Kitambasie site),P pools,Ecosystem,4,25.09,4.3,4,9.97,0.02,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,53,ES594,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,K me% (Kitambasie site),Macronutrients,Ecosystem,4,3.37,1.3,4,4.79,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,54,ES595,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Ca me% (Kitambasie site),Macronutrients,Ecosystem,4,52.94,40.85,4,14.38,0.13,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,55,ES596,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mg me% (Kitambasie site),Macronutrients,Ecosystem,4,3.7,0.57,4,4.99,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,56,ES597,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mn me% (Kitambasie site),Micronutrients,Ecosystem,4,0.65,0.14,4,0.25,0.01,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,57,ES598,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Cu ppm (Kitambasie site),Micronutrients,Ecosystem,4,8.21,0.64,4,7.5,0.02,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,58,ES599,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Fe ppm (Kitambasie site),Micronutrients,Ecosystem,4,30.1,2.18,4,18.27,0.25,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,59,ES600,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Zn ppm (Kitambasie site),Micronutrients,Ecosystem,4,3.02,0.05,4,1.9,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,60,ES601,PUB29_5,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Na me% (Kitambasie site),Salinity,Ecosystem,4,1.32,0.45,4,1.74,0.27,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,61,ES602,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Soil pH (Nzambani site),pH,Ecosystem,4,6.85,0.34,4,6.11,0.04,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,62,ES603,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,N % (Nzambani site),P pools,Ecosystem,4,0.2,0.01,4,0.17,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,63,ES604,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Organic C % (Nzambani site),C pools,Ecosystem,4,2.07,0.06,4,1.73,0.01,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,64,ES605,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,P me% (Nzambani site),P pools,Ecosystem,4,14.54,4.71,4,10.03,0.02,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,65,ES606,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,K me% (Nzambani site),Macronutrients,Ecosystem,4,1.55,0.43,4,0.39,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,66,ES607,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Ca me% (Nzambani site),Macronutrients,Ecosystem,4,6.3,1.16,4,2.47,0.02,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,67,ES608,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mg me% (Nzambani site),Macronutrients,Ecosystem,4,2.38,0.03,4,2.63,0.02,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,68,ES609,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mn me% (Nzambani site),Micronutrients,Ecosystem,4,1.06,0.16,4,0.4,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,69,ES610,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Cu ppm (Nzambani site),Micronutrients,Ecosystem,4,8.85,0.79,4,12.54,0.02,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,70,ES611,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Fe ppm (Nzambani site),Micronutrients,Ecosystem,4,27.01,4.47,4,16.07,0.06,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,71,ES612,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Zn ppm (Nzambani site),Micronutrients,Ecosystem,4,7.2,0.67,4,7.01,0.04,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,72,ES613,PUB29_6,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Na me% (Nzambani site),Salinity,Ecosystem,4,0.51,0.1,4,0.16,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,73,ES614,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Soil pH (Park HQ site),pH,Ecosystem,4,7.31,0.26,4,5.87,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,74,ES615,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,N % (Park HQ site),P pools,Ecosystem,4,0.19,0.01,4,0.14,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,75,ES616,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Organic C % (Park HQ site),C pools,Ecosystem,4,1.9,0.07,4,1.44,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,76,ES617,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,P me% (Park HQ site),P pools,Ecosystem,4,19.99,6.7,4,20.02,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,77,ES618,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,K me% (Park HQ site),Macronutrients,Ecosystem,4,1.24,0.43,4,0.1,0.01,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,78,ES619,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Ca me% (Park HQ site),Macronutrients,Ecosystem,4,6.89,0.35,4,4.91,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,79,ES620,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mg me% (Park HQ site),Macronutrients,Ecosystem,4,2.5,0,4,2.4,0,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,80,ES621,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mn me% (Park HQ site),Micronutrients,Ecosystem,4,0.96,0.01,4,1.15,0.02,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,81,ES622,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Cu ppm (Park HQ site),Micronutrients,Ecosystem,4,6.03,1.03,4,12.8,0.03,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,82,ES623,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Fe ppm (Park HQ site),Micronutrients,Ecosystem,4,11.51,0.53,4,20.82,0.23,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,83,ES624,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Zn ppm (Park HQ site),Micronutrients,Ecosystem,4,6.68,0.53,4,4.27,0.55,1,4
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,84,ES625,PUB29_7,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Na me% (Park HQ site),Salinity,Ecosystem,4,0.53,0.01,4,0.36,0,1,4
Chiwandika 2019. Bachlor of Environmental Science Thesis Bindura University of Scienve Education,PUB30,2019,1,ES626,PUB30_1,Forest,28.4550364,-20.13159,Observational,Africa,"Dambari Field Station, Bulawayo",Zimbabwe,,Figure 4.1,Macro invertebrate abundance,Animal abundance,Community,50,80.62,14.07133571,50,75.39,5.654785983,1,50
